"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Blackhawks","CHI","12-13",48,2945.4,36,7,5,30,77,80.2,155,102,53,10,92.3
"Lightning","T.B","18-19",82,4979.6,62,16,4,56,128,78,325,222,103,12.2,91.6
"Penguins","PIT","12-13",48,2898.4,36,12,0,33,72,75,165,119,46,11.3,91.5
"Panthers","FLA","21-22",82,4984.2,58,18,6,55,122,74.4,340,246,94,11,90.4
"Capitals","WSH","09-10",82,5008.6,54,15,13,NA,121,73.8,318,233,85,11.6,91
"Capitals","WSH","15-16",82,4982.7,56,18,8,52,120,73.2,252,193,59,9.9,91.8
"Avalanche","COL","20-21",56,3378.7,39,13,4,39,82,73.2,197,133,64,10.2,90.7
"Golden Knights","VGK","20-21",56,3396.1,40,14,2,39,82,73.2,191,124,67,10.4,92
"Avalanche","COL","21-22",82,4967.6,56,19,7,52,119,72.6,312,234,78,10.7,91.2
"Capitals","WSH","16-17",82,4973.1,55,19,8,53,118,72,263,182,81,10.5,92.2
"Bruins","BOS","19-20",70,4260.7,44,14,12,44,100,71.4,227,174,53,10.1,92.1
"Hurricanes","CAR","20-21",56,3417.8,36,12,8,32,80,71.4,179,136,43,9.8,91.5
"Sharks","S.J","08-09",82,4999.9,53,18,11,NA,117,71.3,257,204,53,9.2,91
"Canucks","VAN","10-11",82,4984.9,54,19,9,50,117,71.3,262,185,77,9.8,92.7
"Bruins","BOS","13-14",82,4978.8,54,19,9,51,117,71.3,261,177,84,9.9,92.8
"Predators","NSH","17-18",82,5006.7,53,18,11,47,117,71.3,267,211,56,9.9,92.3
"Bruins","BOS","08-09",82,4926.9,53,19,10,NA,116,70.7,274,196,78,10.9,92.5
"Ducks","ANA","13-14",82,4991,54,20,8,51,116,70.7,266,209,57,10.3,91.4
"Hurricanes","CAR","21-22",82,4969.4,54,20,8,53,116,70.7,278,202,76,9.9,91.3
"Panthers","FLA","20-21",56,3409.5,37,14,5,36,79,70.5,189,153,36,9.6,91
"Red Wings","DET","07-08",82,4978.7,54,21,7,NA,115,70.1,257,184,73,8.9,90.7
"Maple Leafs","TOR","21-22",82,4968.5,54,21,7,51,115,70.1,315,253,62,11,90
"Jets","WPG","17-18",82,4982.2,52,20,10,48,114,69.5,277,218,59,10.3,91.7
"Sharks","S.J","09-10",82,4938.4,51,20,11,NA,113,68.9,264,215,49,10,91.9
"Rangers","NYR","14-15",82,4983.1,53,22,7,49,113,68.9,252,192,60,9.6,92.3
"Lightning","T.B","17-18",82,4979.6,54,23,5,48,113,68.9,296,236,60,10.8,91.3
